الإدارة المتكاملة لسوسة النخيل الحمراء,,,,,,
 Integrated management of the red palm weevil (Examined palm),,,,,,
المنطقة,النخيل المفحوص  عام 2019م,النخيل المفحوص  عام 2020م,النخيل المفحوص  عام 2021م,النخيل المفحوص  عام 2022م,النخيل المفحوص  عام 2023م,النخيل المفحوص  عام 2024م
منطقة الرياض,"23,676,495","27,343,962","22,666,615","20,216,071","18,003,193","13,692,800"
منطقة مكة المكرمة,"462,514","377,742","510,928","734,061","982,671","4,905,946"
منطقة المدنية المنورة,"1,606,482","2,203,665","4,494,414","11,544,713","15,475,971","10,618,370"
منطقة القصيم,"22,196,976","20,218,543","10,311,893","8,533,952","8,665,006","8,159,742"
المنطقة الشرقية,"8,593,494","11,178,599","13,915,552","13,038,975","21,656,690","17,998,055"
منطقة عسير,"320,283","1,352,851","943,885","1,478,484","619,480","4,754,132"
منطقة تبوك,"797,277","1,040,964","1,657,025","1,786,612","2,577,173","3,126,363"
منطقة حائل,"1,407,718","1,848,656","1,977,590","2,099,070","3,134,877","8,629,721"
منطقة الحدود الشمالية, - , - , - , - , - , - 
منطقة جازان, - , - , - , - , - , - 
منطقة نجران,"434,579","782,134","980,002","1,618,589","2,075,407","1,534,933"
منطقة الباحة,"5,283","33,952","79,264","134,275","120,112","285,555"
منطقة الجوف,"426,709","637,753","511,214","942,649","1,118,588","2,341,199"
الإجمالي الكلي,"59,927,810","67,018,821","58,048,382","62,127,451","74,429,168","76,046,816"
